product_id,product_name
1,Uganda Shilling
2,El Salvador Colon US Dollar
3,Yuan Renminbi
4,Qatari Rial
5,CFA Franc BCEAO
6,Costa Rican Colon
7,Tenge
8,European Unit of Account 17(E.U.A.-17)
9,Latvian Lats
10,Sri Lanka Rupee
11,Iranian Rial
12,Lempira
13,El Salvador Colon US Dollar
14,Pataca
15,Hryvnia
16,Indian Rupee Ngultrum
17,Lari
18,Tugrik
19,Singapore Dollar
20,Vatu
21,European Unit of Account 9(E.U.A.-9)
22,Trinidad and Tobago Dollar
23,Gibraltar Pound
24,Kip
25,Boliviano Mvdol
26,Swiss Franc
27,Swiss Franc
28,Lari
29,CFP Franc
30,CFP Franc
31,Kip
32,European Unit of Account 9(E.U.A.-9)
33,Kip
34,Lari
35,Falkland Islands Pound
36,Saint Helena Pound
37,Dominican Peso
38,Lari
39,Sri Lanka Rupee
40,Ouguiya
41,Rupiah
42,European Unit of Account 17(E.U.A.-17)
43,CFA Franc BCEAO
44,European Unit of Account 9(E.U.A.-9)
45,Brazilian Real
46,Bahraini Dinar
47,Lari
48,Dominican Peso
49,Tala
50,Barbados Dollar
51,Croatian Kuna
52,Brazilian Real
53,Pa'anga
54,Ethiopian Birr
55,Singapore Dollar
56,Bulgarian Lev
57,Sri Lanka Rupee
58,Lempira
59,Congolese Franc
60,North Korean Won
61,Aruban Guilder
62,Palladium
63,New Leu
64,Dobra
65,Pakistan Rupee
66,North Korean Won
67,Cayman Islands Dollar
68,Aruban Guilder
69,European Unit of Account 9(E.U.A.-9)
70,Dominican Peso
71,Swiss Franc
72,Dominican Peso
73,Uzbekistan Sum
74,Latvian Lats
75,Vatu
76,Comoro Franc
77,Croatian Kuna
78,Qatari Rial
79,Bond Markets Units European Composite Unit (EURCO)
80,Rwanda Franc
81,Bulgarian Lev
82,Egyptian Pound
83,Comoro Franc
84,Hryvnia
85,Euro
86,Zloty
87,CFP Franc
88,Ethiopian Birr
89,Naira
90,Bolivar Fuerte
91,Palladium
92,Tugrik
93,Latvian Lats
94,Libyan Dinar
95,Lari
96,Brazilian Real
97,Moroccan Dirham
98,Yuan Renminbi
99,Singapore Dollar
100,Rial Omani
101,Jordanian Dinar
102,Aruban Guilder
103,Djibouti Franc
104,Ethiopian Birr
105,Swiss Franc
106,Pataca
107,New Leu
108,Peso Uruguayo Uruguay Peso en Unidades Indexadas
109,Lempira
110,Kina
111,Solomon Islands Dollar
112,Djibouti Franc
113,Yen
114,Peso Uruguayo Uruguay Peso en Unidades Indexadas
115,Brazilian Real
116,Pataca
117,Kina
118,Bermudian Dollar (customarily known as Bermuda Dollar)
119,Comoro Franc
120,Tala
121,Argentine Peso
122,Convertible Marks
123,Kina
124,Gibraltar Pound
125,Ethiopian Birr
126,Yuan Renminbi
127,Yen
128,North Korean Won
129,Rial Omani
130,Latvian Lats
131,European Unit of Account 9(E.U.A.-9)
132,Danish Krone
133,Nepalese Rupee
134,Rupiah
135,Solomon Islands Dollar
136,Rwanda Franc
137,Indian Rupee
138,Uganda Shilling
139,Palladium
140,Indian Rupee Ngultrum
141,Dobra
142,Argentine Peso
143,Ethiopian Birr
144,Bahamian Dollar
145,Gourde US Dollar
146,Tunisian Dinar
147,Bond Markets Units European Composite Unit (EURCO)
148,Peso Uruguayo Uruguay Peso en Unidades Indexadas
149,Congolese Franc
150,Comoro Franc
151,Kip
152,Lari
153,Rwanda Franc
154,Latvian Lats
155,Brazilian Real
156,CFA Franc BCEAO
157,Rupiah
158,Latvian Lats
159,Kip
160,Ouguiya
161,Barbados Dollar
162,Indian Rupee Ngultrum
163,Serbian Dinar
164,Jordanian Dinar
165,Lithuanian Litas
166,Vatu
167,Peso Uruguayo Uruguay Peso en Unidades Indexadas
168,Cape Verde Escudo
169,Costa Rican Colon
170,Bolivar Fuerte
171,Yuan Renminbi
172,Hryvnia
173,Zloty
174,Lebanese Pound
175,Latvian Lats
176,Iranian Rial
177,Moroccan Dirham
178,Bahraini Dinar
179,Costa Rican Colon
180,Pula
181,Forint
182,Comoro Franc
183,Serbian Dinar
184,New Leu
185,Indian Rupee Ngultrum
186,Tala
187,Lempira
188,European Unit of Account 17(E.U.A.-17)
189,Croatian Kuna
190,Barbados Dollar
191,Bond Markets Units European Composite Unit (EURCO)
192,Congolese Franc
193,European Unit of Account 9(E.U.A.-9)
194,Brazilian Real
195,Bulgarian Lev
196,Lebanese Pound
197,Dalasi
198,Syrian Pound
199,Lithuanian Litas
200,Kwacha
201,Swiss Franc
202,Tanzanian Shilling
203,Trinidad and Tobago Dollar
204,Boliviano Mvdol
205,European Unit of Account 9(E.U.A.-9)
206,Lari
207,Comoro Franc
208,Indian Rupee
209,Pakistan Rupee
210,Azerbaijanian Manat
211,Peso Uruguayo Uruguay Peso en Unidades Indexadas
212,Uzbekistan Sum
213,Denar
214,Tenge
215,Rwanda Franc
216,Egyptian Pound
217,Pakistan Rupee
218,Lari
219,Egyptian Pound
220,Dominican Peso
221,Bolivar Fuerte
222,Vatu
223,Kina
224,Uzbekistan Sum
225,Dalasi
226,CFA Franc BEAC
227,Pula
228,Libyan Dinar
