product_id,product_name
1,Sri Lanka Rupee
2,Rial Omani
3,Jordanian Dinar
4,Malagasy Ariary
5,Lebanese Pound
6,Azerbaijanian Manat
7,Pula
8,Kina
9,Palladium
10,Forint
11,Trinidad and Tobago Dollar
12,Lithuanian Litas
13,Serbian Dinar
14,Yen
15,Liberian Dollar
16,European Monetary Unit (E.M.U.-6)
17,Dobra
18,Kina
19,Surinam Dollar
20,Uzbekistan Sum
21,Tugrik
22,New Leu
23,Egyptian Pound
24,Jordanian Dinar
25,Denar
26,Convertible Marks
27,Argentine Peso
28,European Unit of Account 17(E.U.A.-17)
29,Swiss Franc
30,Convertible Marks
31,Uganda Shilling
32,Bond Markets Units European Composite Unit (EURCO)
33,Comoro Franc
34,Kip
35,Cape Verde Escudo
36,Bulgarian Lev
37,Qatari Rial
38,North Korean Won
39,North Korean Won
40,East Caribbean Dollar
41,Ethiopian Birr
42,El Salvador Colon US Dollar
43,Gourde US Dollar
44,Cayman Islands Dollar
45,Peso Uruguayo Uruguay Peso en Unidades Indexadas
46,Nepalese Rupee
47,Lari
48,Bolivar Fuerte
49,Hryvnia
50,Peso Uruguayo Uruguay Peso en Unidades Indexadas
51,Kip
52,Bond Markets Units European Composite Unit (EURCO)
53,Rupiah
54,Rupiah
55,Philippine Peso
56,Lempira
57,Rupiah
58,CFP Franc
59,Danish Krone
60,Djibouti Franc
61,Lempira
62,Aruban Guilder
63,Kip
64,Egyptian Pound
65,El Salvador Colon US Dollar
66,Tunisian Dinar
67,El Salvador Colon US Dollar
68,Hryvnia
69,Qatari Rial
70,Malagasy Ariary
71,Egyptian Pound
72,Yen
73,Saint Helena Pound
74,Comoro Franc
75,Falkland Islands Pound
76,Rwanda Franc
77,Solomon Islands Dollar
78,Tugrik
79,Bulgarian Lev
80,Lithuanian Litas
81,Hryvnia
82,Dobra
83,Singapore Dollar
84,Yen
85,Yuan Renminbi
86,Leone
87,Pula
88,Forint
89,Liberian Dollar
90,Dalasi
91,Bond Markets Units European Composite Unit (EURCO)
92,Ouguiya
93,Bolivar Fuerte
94,Solomon Islands Dollar
95,Hryvnia
96,Denar
97,Ethiopian Birr
98,Palladium
99,Palladium
100,Indian Rupee Ngultrum
101,Boliviano Mvdol
102,Qatari Rial
103,Jordanian Dinar
104,Moroccan Dirham
105,Kip
